website,category_1,confidence_1,category_2,confidence_2,error,status
youtube.com,Arts & Entertainment,0.5543238521,,,FALSE,200
www.google.com,Search Engines & Platforms,0.1471770257,,,FALSE,200
docs.google.com,Email and Messaging,0.3240202665,Email and Messaging,0.2910697162,FALSE,200
moe.edu.sg,Education/Reference,,,,TRUE,410
classroom.google.com,Education/Reference,0.9542896152,,,FALSE,200
mail.google.com,Email and Messaging,0.6102639437,Email and Messaging,0.1460491121,FALSE,200
translate.google.com,Search Engines & Platforms,0.3271140456,Computers & Technology,0.1210301518,FALSE,200
drive.google.com,Web-based Applications,0.8115829229,File Sharing/P2P,0.5535660386,FALSE,200
docs.com,Computers & Technology,0.1708609611,Computers & Technology,0.1509233117,FALSE,200
accounts.google.com,Email and Messaging,0.3240202665,Email and Messaging,0.2910697162,FALSE,200
spotify.com,Arts & Entertainment,0.6905035973,,,FALSE,200
vle.learning.edu.sg,Education/Reference,,,,TRUE,410
padlet.com,Education/Reference,,,,TRUE,411
kamihq.com,Education/Reference,0.7147780657,Computers & Technology,0.670568943,FALSE,200
sites.google.com,Computers & Technology,,,,TRUE,411
classroom.com,Computers & Technology,,,,TRUE,410
instagram.com,Social Networking,0.520862639,Social Networking,0.5090289116,FALSE,200
mail.com,Email and Messaging,0.9251903296,Email and Messaging,0.2577189803,FALSE,200
kahoot.it,Gaming,0.4836989045,Computers & Technology,0.3594086468,FALSE,200
openai.com,Computers & Technology,0.1969038844,Computers & Technology,0.1774834841,FALSE,200
translate.com,Education/Reference,0.9944918156,Computers & Technology,0.4846942723,FALSE,200
telegram.org,Email and Messaging,0.5572652221,Computers & Technology,0.229273513,FALSE,200
blooket.com,Gaming,0.7271776795,Gaming,0.4847376943,FALSE,200
canva.com,Computers & Technology,0.7867720127,Computers & Technology,0.6345470548,0,200
drive.com,Computers & Technology,,,,TRUE,410
adservice.google.com,Advertising/Marketing,,,,TRUE,411
pinterest.com,Social Networking,0.2091712058,Social Networking,0.1961289942,FALSE,200
ogs.google.com.sg,,,,,TRUE,411
earth.google.com,Education/Reference,0.8617565632,Computers & Technology,0.3970841169,FALSE,200
notion.so,Computers & Technology,0.7993406057,Business,0.5065085292,FALSE,200
discord.com,Community Sites,0.57507658,Email and Messaging,0.4779174626,FALSE,200
2mdn.net,,,,,TRUE,410
tel.onl,Computers & Technology,0.5235772729,Email and Messaging,0.3777575493,FALSE,200
mangadex.org,Arts & Entertainment,0.9733387232,,,FALSE,200
accounts.com,Online Banking,0.3844926357,Financial Services,0.3246968389,FALSE,200
wikipedia.org,Education/Reference,0.1632101834,,,FALSE,200
tiktok.com,Social Networking,0.7996084094,Social Networking,0.3101266623,FALSE,200
media-app.com,,,,,TRUE,410
zoom.us,Computers & Technology,0.8068856001,Email and Messaging,0.2365205437,FALSE,200
quizizz.com,Education/Reference,0.6487095952,Education/Reference,0.5799816847,FALSE,200
archiveofourown.org,Arts & Entertainment,0.332887888,Arts & Entertainment,0.215592131,FALSE,200
carousell.sg,Shopping,0.627628088,,,0,200
meet.google.com,Computers & Technology,0.5825881958,Webinars/E-learning,0.3665558994,FALSE,200
sites.com,Computers & Technology,0.5403467417,Email and Messaging,0.2817594707,FALSE,200
jamboard.google.com,Email and Messaging,0.3240202665,Email and Messaging,0.2910697162,FALSE,200
amazon-adsystem.com,Advertising/Marketing,,,,TRUE,410
about.google,Search Engines & Platforms,0.4773983061,News/Media,0.3425447643,FALSE,200
webogram.org,Email and Messaging,0.3116421402,Email and Messaging,0.2512920797,FALSE,200
whatsapp.com,Email and Messaging,0.4782549441,Computers & Technology,0.164634183,FALSE,200
character.ai,Computers & Technology,,,,TRUE,411
criteo.com,Shopping,0.4577405751,Advertising/Marketing,0.3779184222,FALSE,200
shopee.sg,Shopping,0.771712482,Shopping,0.1075451672,FALSE,200
apps.chrome,Computers & Technology,0.5196973681,Computers & Technology,0.2471794486,FALSE,200
fandom.com,Arts & Entertainment,0.4855811,Arts & Entertainment,0.2104520798,FALSE,200
chess.com,Gaming,0.9597079158,Gaming,0.9185361862,FALSE,200
pubmatic.com,Advertising/Marketing,0.4354661703,News/Media,0.3067090213,FALSE,200
webtoons.com,Arts & Entertainment,0.7307357192,Arts & Entertainment,0.5335539579,FALSE,200
rhythm-plus.com,Arts & Entertainment,0.8431890607,Gaming,0.208802864,FALSE,200
netflix.com,Arts & Entertainment,1,Arts & Entertainment,0.1347135603,FALSE,200
history.com,Arts & Entertainment,0.9071227312,Arts & Entertainment,0.6644775271,FALSE,200
bilibili.com,Arts & Entertainment,0.6487688422,Arts & Entertainment,0.2406389415,FALSE,200
googleusercontent.com,Advertising/Marketing,,,,TRUE,411
rubiconproject.com,Advertising/Marketing,0.4417362213,News/Media,0.4344007373,FALSE,200
camera-app.com,Computers & Technology,,,,TRUE,410
facebook.com,Social Networking,0.4577421844,,,FALSE,200
myskillsfuture.gov.sg,Education/Reference,0.2565304041,Education/Reference,0.1222349927,FALSE,200
openx.net,Advertising/Marketing,,,,TRUE,411
web.com,Computers & Technology,0.1179701164,,,FALSE,200
open.com,Financial Services,0.8969006538,Business,0.1912016869,FALSE,200
calendar.google.com,Computers & Technology,1,Computers & Technology,0.1226323098,FALSE,200
github.io,Web-based Applications,0.4236281812,Computers & Technology,0.3560014665,FALSE,200
bandlab.com,Computers & Technology,0.3773290813,Arts & Entertainment,0.2782698572,FALSE,200
mangago.me,Arts & Entertainment,0.9866555929,,,FALSE,200
keep.google.com,Email and Messaging,0.3240202665,Email and Messaging,0.2910697162,FALSE,200
myaccount.google.com,Computers & Technology,0.5366418958,Email and Messaging,0.5236964822,FALSE,200
personalization.com,,,,,TRUE,410
classkick.com,Education/Reference,0.9562888145,Education/Reference,0.2433501035,FALSE,200
linktr.ee,Social Networking,0.7179861069,Advertising/Marketing,0.2670521438,FALSE,200
zbschools.sg,Education/Reference,0.8829492331,Education/Reference,0.2105341554,FALSE,200
geniebook.com,Education/Reference,0.6924078465,Education/Reference,0.5400963426,FALSE,200
ace-learning.com,Science,0.822465241,Education/Reference,0.6022026539,FALSE,200
yahoo.com,Computers & Technology,0.9133816957,News/Media,0.4597762823,FALSE,200
photos.google.com,Social Networking,0.7467303872,Computers & Technology,0.3233815432,FALSE,200
disqus.com,Advertising/Marketing,0.2214456201,Social Networking,0.2151780725,FALSE,200
straitstimes.com,News/Media,0.7226184011,News/Media,0.1418126076,FALSE,200
chr.sg,Web-based Applications,0.167950809,,,FALSE,200
ogs.com.sg,Computers & Technology,0.2530100048,Computers & Technology,0.1716270596,0,200
stripe.com,Online Banking,0.4722338915,Shopping,0.3930265605,FALSE,200
uquiz.com,Arts & Entertainment,0.9537904859,,,FALSE,200
twitter.com,News/Media,0.4749350846,Social Networking,0.1694649905,FALSE,200
mceduhub.com,Education/Reference,0.5132082105,Education/Reference,0.4427517354,FALSE,200
mit.edu,Education/Reference,0.9653943777,Computers & Technology,0.2421352714,FALSE,200
tlgrm.app,Email and Messaging,0.6577516198,Computers & Technology,0.1054208055,0,200
nytimes.com,News/Media,1,News/Media,0.3237382472,FALSE,200
chat.com,Computers & Technology,,,,TRUE,411
roblox.com,Gaming,0.5202888846,Gaming,0.2971705496,FALSE,200
peardeck.com,Education/Reference,0.7056338787,Computers & Technology,0.7038285732,FALSE,200
loginfra.com,Search Engines & Platforms,,,,TRUE,410
microsoftonline.com,,,,,TRUE,410
adservice.com,Search Engines & Platforms,0.8183016181,Advertising/Marketing,0.3011326194,FALSE,200
casalemedia.com,Arts & Entertainment,0.204201594,News/Media,0.198062107,FALSE,200
s0.net,,,,,TRUE,411
earth.com,Science,0.3159647584,Science,0.212634325,FALSE,200
forms.gle,Computers & Technology,,,,TRUE,411
en.org,,,,,TRUE,411
settings.gg,Gaming,0.6346095204,Gaming,0.3799288273,FALSE,200
douyin.com,Arts & Entertainment,0.2055488527,Social Networking,0.1833664179,FALSE,200
sharepoint.com,Computers & Technology,0.9347457886,,,FALSE,200
quizlet.com,Education/Reference,0.4795731306,Computers & Technology,0.2822862864,FALSE,200
nlb.gov.sg,Education/Reference,0.7444989681,Arts & Entertainment,0.3460098803,FALSE,200
hoyolab.com,Arts & Entertainment,,,,TRUE,411
bing.com,Education/Reference,0.2160580605,,,FALSE,200
onenote.com,Computers & Technology,0.5327049494,Computers & Technology,0.1255927235,FALSE,200
channelnewsasia.com,News/Media,0.9640933871,News/Media,0.2340032905,FALSE,200
ticketmaster.sg,Arts & Entertainment,0.9263291955,Arts & Entertainment,0.6406507492,FALSE,200
quotev.com,Social Networking,0.2429101318,Education/Reference,0.1697697639,FALSE,200
edu.google.com,Education/Reference,0.5201433897,Computers & Technology,0.2035861462,FALSE,200
live.com,Email and Messaging,0.6266887188,Computers & Technology,0.4213520586,FALSE,200
rgs.edu.sg,Education/Reference,0.9563652873,Government & Legal,0.1636888385,FALSE,200
duolingo.com,Education/Reference,0.6010936499,Education/Reference,0.2139410526,FALSE,200
chrome.google.com,Computers & Technology,0.9227138162,Computers & Technology,0.1507549435,FALSE,200
recaptcha.net,,,,,TRUE,411
tumblr.com,Blogs/Personal Sites,0.4561832845,Social Networking,0.2614699304,FALSE,200
go.gov.sg,Government & Legal,0.6895875335,Computers & Technology,0.2368073016,FALSE,200
onetag-sys.com,Advertising/Marketing,,,,TRUE,411
3lift.com,Advertising/Marketing,0.4245498478,News/Media,0.1269370615,FALSE,200
clients6.google.com,,,,,TRUE,411
xn--80affa3aj0al.xn--80asehdb,Email and Messaging,0.7808895111,Computers & Technology,0.2032424957,0,200
contacts.google.com,Email and Messaging,0.3240202665,Email and Messaging,0.2910697162,FALSE,200
adnxs.com,Advertising/Marketing,,,,TRUE,410
menti.com,Computers & Technology,0.5658177137,News/Media,0.2456468493,FALSE,200
desmos.com,Education/Reference,,,,TRUE,411
apple.com,Computers & Technology,0.8889063001,Computers & Technology,0.5712006688,FALSE,200
nearpod.com,Education/Reference,0.8868521452,Computers & Technology,0.5469635129,FALSE,200
libbyshelf.com,Education/Reference,,,,TRUE,410
overdrive.com,Computers & Technology,0.909527421,Arts & Entertainment,0.4904764593,FALSE,200
aniwatch.to,Arts & Entertainment,0.939807713,Arts & Entertainment,0.8535879254,FALSE,200
s.com,,,,,FALSE,200
deepl.com,Education/Reference,0.951292932,Computers & Technology,0.306831032,FALSE,200
lens.google.com,Search Engines & Platforms,0.3271140456,Computers & Technology,0.1210301518,FALSE,200
quora.com,Community Sites,0.6075612903,Social Networking,0.18085666,FALSE,200
tinyurl.com,Computers & Technology,0.2189221382,Web-based Applications,0.14645423,FALSE,200
ads.com,Shopping,0.2796561718,,,FALSE,200
turnitin.com,Education/Reference,0.6240661144,Education/Reference,0.4789661765,FALSE,200
amazon.sg,Shopping,0.9331456423,,,FALSE,200
microsoft.com,Computers & Technology,0.6825970411,News/Media,0.3887116909,FALSE,200
gstatic.com,,,,,TRUE,411
starpub.com.sg,Business,0.5206092596,,,FALSE,200
cloudflare.com,Web-based Applications,0.6712561846,Computers & Technology,0.2851086557,FALSE,200
lijit.com,Advertising/Marketing,,,,TRUE,411
teams.com,Computers & Technology,0.8529756665,Webinars/E-learning,0.5111509562,FALSE,200
auth0.com,Computers & Technology,0.5432854891,Computers & Technology,0.2676120996,FALSE,200
dbp.gov.my,Government & Legal,,,,TRUE,410
music.com,Arts & Entertainment,0.1231331974,,,FALSE,200
amazonaws.com,Web-based Applications,0.3369779587,Computers & Technology,0.3091906607,FALSE,200
nyaacsg.org,,,,,TRUE,411
classpoint.app,Computers & Technology,0.3892418146,,,FALSE,200
lazada.sg,Shopping,0.5565531254,Shopping,0.1093947142,FALSE,200
baidu.com,Search Engines & Platforms,0.8904203773,,,FALSE,200
edgefield.edu.sg,Education/Reference,0.8421703577,Computers & Technology,0.1040262133,FALSE,200
coolmathgames.com,Gaming,0.8297247887,Science,0.8191102743,FALSE,200
microbit.org,Computers & Technology,0.4006130099,Computers & Technology,0.2555308938,FALSE,200
pwa.us,Financial Services,0.4448389709,Health & Medicine,0.1541960686,FALSE,200
extensions.dev,Computers & Technology,0.6819031835,Computers & Technology,0.3278770745,FALSE,200
reddit.com,Community Sites,0.1757327616,,,FALSE,200
support.google.com,Search Engines & Platforms,0.3637748659,Computers & Technology,0.3421158493,FALSE,200
edu.com,Science,0.6163632274,Education/Reference,0.5371551514,FALSE,200
vimeo.com,Social Networking,0.5104762912,Arts & Entertainment,0.4404250085,FALSE,200
mathplayground.com,Science,0.7072440386,Gaming,0.5330918431,FALSE,200
roudoduor.com,Advertising/Marketing,,,,TRUE,410
idp.mims.gov.sg,Education/Reference,,,,TRUE,410
mothership.sg,News/Media,0.8008385897,News/Media,0.2485418916,FALSE,200
deviantart.com,Arts & Entertainment,0.7078085542,Arts & Entertainment,0.6137285829,FALSE,200
app.com,News/Media,0.7126083374,News/Media,0.4641846418,FALSE,200
login.com,,,,,TRUE,410
gum.com,,,,,TRUE,410
colab.research.google.com,Computers & Technology,0.2359350026,,,FALSE,200
slidesgo.com,Computers & Technology,0.9993846416,Education/Reference,0.4598075449,FALSE,200
imrworldwide.com,Advertising/Marketing,,,,TRUE,410
mangatoto.com,Arts & Entertainment,0.8741482496,Arts & Entertainment,0.1039005443,FALSE,200
m.com,,,,,FALSE,200
seab.gov.sg,Education/Reference,0.7088065147,Government & Legal,0.2154094428,FALSE,200
happymh.com,Arts & Entertainment,0.3037407696,Adult,0.2379421294,FALSE,200
kisskh.co,Arts & Entertainment,0.5851540565,Arts & Entertainment,0.3313786089,FALSE,200
ytssedusg.com,,,,,TRUE,410
ready.sg,,,,,TRUE,410
9animetv.to,Arts & Entertainment,0.9630226493,Arts & Entertainment,0.6106655598,FALSE,200
wattpad.com,Computers & Technology,0.6561655402,Arts & Entertainment,0.4703013897,FALSE,200
xiaohongshu.com,Health & Medicine,0.4609944522,Community Sites,0.1371857226,FALSE,200
swisscottagesecsg.org,Education/Reference,,,,TRUE,410
pokemonshowdown.com,Gaming,0.5750514269,Gaming,0.5690563917,FALSE,200
mewatch.sg,Arts & Entertainment,0.9204854965,Arts & Entertainment,0.5065368414,FALSE,200
play.com,Shopping,0.8213598132,Shopping,0.751001358,0,200
lifeat.io,Computers & Technology,1,Business,0.2147275656,FALSE,200
media.net,Advertising/Marketing,0.4037036896,Search Engines & Platforms,0.2139806896,FALSE,200
libbyapp.com,Computers & Technology,0.6449114084,Education/Reference,0.483527422,FALSE,200
asurascans.com,Arts & Entertainment,0.8196555376,Arts & Entertainment,0.2169536203,FALSE,200
disneyplus.com,Arts & Entertainment,0.9653401375,Arts & Entertainment,0.521889329,FALSE,200
firebaseapp.com,Web-based Applications,0.5750353932,Web-based Applications,0.2577566504,FALSE,200
file.so,,,,,TRUE,411
cambridge.org,Education/Reference,0.832159996,Education/Reference,0.2300796956,FALSE,200
addtoany.com,Web-based Applications,0.1442998201,,,FALSE,200
coffeemanga.io,Arts & Entertainment,0.9901334047,Computers & Technology,0.294875741,FALSE,200
smartadserver.com,Advertising/Marketing,0.5268551707,Computers & Technology,0.3348317444,FALSE,200
wordpress.com,Blogs/Personal Sites,0.4379217923,Web-based Applications,0.1056402996,FALSE,200
crwdcntrl.net,,,,,TRUE,0
twitch.tv,Arts & Entertainment,0.6935063601,Gaming,0.4659824073,FALSE,200
padletcdn.com,Arts & Entertainment,0.1445358098,,,FALSE,200
meet.com,Social Networking,0.487775892,Social Networking,0.3515301049,0,200
office.com,Computers & Technology,0.545623064,Computers & Technology,0.3677659929,FALSE,200
sensic.net,Web-based Applications,0.6446310282,Computers & Technology,0.2826795876,FALSE,200
teads.tv,Web-based Applications,0.434311986,Advertising/Marketing,0.4064155817,FALSE,200
lichess.org,Gaming,0.9633561969,Gaming,0.7894414067,FALSE,200
trip.com,Automotive & Transportation,0.3825070262,Automotive & Transportation,0.2539871931,FALSE,200
watchdocumentaries.com,Arts & Entertainment,0.5895386934,Arts & Entertainment,0.4485085309,FALSE,200
demdex.net,Arts & Entertainment,,,,FALSE,200
fanfiction.net,Arts & Entertainment,,,,TRUE,0
aquamanga.com,Arts & Entertainment,,,,TRUE,410
bato.to,Arts & Entertainment,0.9817984104,,,FALSE,200
mangabuddy.com,Arts & Entertainment,0.9899943471,,,FALSE,200
shein.com,Shopping,0.7694667578,Shopping,0.1240367144,FALSE,200
tetris.com,Gaming,0.8077394962,Arts & Entertainment,0.4228247404,FALSE,200
snapchat.com,Social Networking,0.6360706091,Computers & Technology,0.1830803007,FALSE,200
genius.com,Social Networking,0.2745230496,Arts & Entertainment,0.1401738673,FALSE,200
grammarly.com,Arts & Entertainment,0.5151404142,Business,0.3515922725,FALSE,200
repl.co,Web-based Applications,0.1661271453,,,FALSE,200
pghub.io,,,,,TRUE,411
scratch.edu,Education/Reference,,,,TRUE,410
33across.com,Advertising/Marketing,0.3081144989,News/Media,0.2260424644,FALSE,200
stickyadstv.com,Advertising/Marketing,,,,TRUE,410
buzzfeed.com,Arts & Entertainment,0.2258686721,Arts & Entertainment,0.1495286226,FALSE,200
jetpunk.com,Arts & Entertainment,0.7905480862,Education/Reference,0.1413305849,FALSE,200
thunkable.com,Computers & Technology,0.5626949668,Computers & Technology,0.4063150585,FALSE,200
shope.ee,Shopping,,,,TRUE,410
optimizely.com,Computers & Technology,0.682931602,Computers & Technology,0.4394444823,FALSE,200
maps.google.com,Education/Reference,0.5644091964,Computers & Technology,0.1447157413,FALSE,200
a-ads.com,Financial Services,0.9989408851,Advertising/Marketing,0.2145917118,FALSE,200
xm.com,Financial Services,0.4302487671,Financial Services,0.2468342334,0,200
chesskid.com,Gaming,0.9341391921,Gaming,0.7858624458,FALSE,200
moatads.com,,,,,FALSE,200
gmail.com,Email and Messaging,0.6102639437,Email and Messaging,0.1460491121,FALSE,200
a-mo.net,,,,,TRUE,410
jamboard.com,Computers & Technology,0.6988908052,,,FALSE,200
storyjumper.com,Arts & Entertainment,0.5825466514,Business,0.3386186063,FALSE,200
soap2day.rs,Arts & Entertainment,1,Arts & Entertainment,0.4659050107,FALSE,200
overmugged.com,Education/Reference,0.8677136898,Education/Reference,0.7474430203,FALSE,200
replit.com,Computers & Technology,0.4686567783,Computers & Technology,0.2594765723,FALSE,200
mangakakalot.so,Arts & Entertainment,0.9868092537,Arts & Entertainment,0.1040897295,FALSE,200
fairprice.com.sg,Restaurants & Dining,0.944345057,Shopping,0.2291558683,FALSE,200
cdn.com,,,,,FALSE,200
ir3.xyz,,,,,TRUE,411
unknown.com,,,,,FALSE,200
capcut.com,Computers & Technology,1,Computers & Technology,0.3325911164,0,200
shinglee.sg,Education/Reference,,,,TRUE,410
asura.gg,Arts & Entertainment,,,,TRUE,0
nan.google.com,Computers & Technology,,,,TRUE,410
form.gov.sg,Government & Legal,0.4573852122,Education/Reference,0.2248058021,FALSE,200
coolors.co,Computers & Technology,1,Computers & Technology,0.3353749812,FALSE,200
weibo.com,Blogs/Personal Sites,0.4254310727,Social Networking,0.1486638784,FALSE,200
manganelo.tv,Arts & Entertainment,0.9954336286,Computers & Technology,0.124610655,FALSE,200
calendar.com,Computers & Technology,1,Education/Reference,0.5264723897,FALSE,200
mathsisfun.com,Science,0.9780853987,Education/Reference,0.7041482329,FALSE,200
colorado.edu,Education/Reference,0.9920580387,,,FALSE,200
monkeytype.com,Computers & Technology,0.3700127006,Computers & Technology,0.2932070494,FALSE,200
soraapp.com,Computers & Technology,0.3897775412,Computers & Technology,0.3435732424,FALSE,200
deck.toys,Education/Reference,0.6932083964,Education/Reference,0.1539060026,FALSE,200
bbc.com,News/Media,0.6774680614,Violence,0.5043800473,FALSE,200
rhythmplus.io,Arts & Entertainment,0.8431890607,Gaming,0.208802864,FALSE,200
archive.org,Computers & Technology,0.1360746026,,,FALSE,200
sgmoe-my.com,,,,,TRUE,410
koobits.com,Education/Reference,0.7433053255,Education/Reference,0.6375145316,FALSE,200
studykaki.com,Education/Reference,0.8398909569,Education/Reference,0.5314156413,FALSE,200
scone-pa.clients6.google.com,,,,,TRUE,411
magma.com,Arts & Entertainment,0.534948051,Computers & Technology,0.5127037764,FALSE,200
portal.mims.gov.sg,Education/Reference,,,,TRUE,410
adsrvr.org,Computers & Technology,0.1004178151,,,FALSE,200
workspace.google.com,Computers & Technology,0.6632082462,Business,0.1384927928,FALSE,200
weverse.io,Social Networking,0.2831695378,Arts & Entertainment,0.1475503594,FALSE,200
neal.fun,Blogs/Personal Sites,0.1492559463,,,FALSE,200
88tuition.com,Education/Reference,0.8999969959,Education/Reference,0.8292499781,FALSE,200
sync.com,Web-based Applications,0.813657999,File Sharing/P2P,0.4947203696,FALSE,200
secure-assets.com,,,,,TRUE,411
chat.google.com,Email and Messaging,0.3240202665,Email and Messaging,0.2910697162,FALSE,200
myaccount.com,Email and Messaging,0.2999874651,Email and Messaging,0.1851076335,FALSE,200
stumbleguys.com,Gaming,0.7402194738,Gaming,0.5113356113,FALSE,200
nas.gov.sg,Education/Reference,0.2041542828,Education/Reference,0.1640722454,FALSE,200
zoro.to,,,,,TRUE,410
beta.ai,,,,,TRUE,410
dramacool.sr,Arts & Entertainment,0.8789517283,Arts & Entertainment,0.7750952244,FALSE,200
everestads.net,,,,,FALSE,200
wuxiap.com,Computers & Technology,0.5632888079,Arts & Entertainment,0.2238426208,FALSE,200
musescore.com,Arts & Entertainment,1,,,FALSE,200
comick.app,,,,,TRUE,411
notability.com,Computers & Technology,0.3402335346,Computers & Technology,0.2826828361,FALSE,200
shorturl.at,Computers & Technology,0.787315309,Computers & Technology,0.2231677473,FALSE,200
quillbot.com,Arts & Entertainment,0.8137303591,Computers & Technology,0.5941166282,0,200
indexww.com,Business,0.3093174398,,,FALSE,200
animetake.tv,Arts & Entertainment,,,,TRUE,411
youtu.be,Social Networking,0.2171035856,,,FALSE,200
ssum-sec.com,,,,,TRUE,410
ite.edu.sg,Education/Reference,0.6377025843,Education/Reference,0.5884257555,FALSE,200
for-j.com,Arts & Entertainment,0.4469951689,Arts & Entertainment,0.3110455573,FALSE,200
dartsearch.net,,,,,TRUE,410
duboku.fun,,,,,TRUE,410
gumgum.com,Advertising/Marketing,0.5142150521,Web-based Applications,0.3985630274,FALSE,200
taboola.com,Advertising/Marketing,0.3422471881,Search Engines & Platforms,0.2989393771,FALSE,200
zaobao.com.sg,News/Media,0.947290659,,,FALSE,200
bflix.sx,,,,,TRUE,410
blogspot.com,Blogs/Personal Sites,0.876098156,,,FALSE,200
intergient.com,,,,,TRUE,410
colamanhua.com,Arts & Entertainment,0.8099361062,Computers & Technology,0.1343988329,FALSE,200
sonobi.com,Computers & Technology,0.4809699953,Arts & Entertainment,0.3381594121,FALSE,200
flip.com,Education/Reference,0.2835941017,Social Networking,0.230041936,FALSE,200
1rx.io,,,,,TRUE,410
chinesean.com,Search Engines & Platforms,0.2253550291,Advertising/Marketing,0.1303083003,FALSE,200
69shu.com,Adult,0.1970086396,,,FALSE,200
mentimeter.com,Computers & Technology,1,,,FALSE,200
soundtrap.com,Arts & Entertainment,1,Computers & Technology,0.5177875161,FALSE,200
challenges.com,Web-based Applications,0.1382225305,,,0,200
hdtoday.tv,Arts & Entertainment,1,Arts & Entertainment,0.401943028,FALSE,200
bash.gg,Gaming,0.4854950607,Gaming,0.2895446718,FALSE,200
nike.com,Shopping,0.4628567994,Shopping,0.3593010008,FALSE,200
play.google.com,Computers & Technology,0.7924512625,Gaming,0.1064869091,FALSE,200
webcamtoy.com,Arts & Entertainment,0.5906591415,Computers & Technology,0.15071325,FALSE,200
eus.com,Web-based Applications,0.1693494171,,,FALSE,200
sharethis.com,Web-based Applications,0.6250266433,Web-based Applications,0.3735126853,FALSE,200
eresources.gov.sg,Education/Reference,,,,TRUE,410
contacts.com,Shopping,,,,FALSE,200
9anime.to,Arts & Entertainment,,,,TRUE,411
anahitagirted.uno,,,,,TRUE,410
asuracomics.com,Arts & Entertainment,0.7552452087,Arts & Entertainment,0.2623336911,FALSE,200
merlesoda.uno,,,,,TRUE,410
chapmanganato.com,Arts & Entertainment,0.9869464636,,,FALSE,200
tetr.io,Gaming,0.6712690592,Gaming,0.5259253979,FALSE,200
geogebra.org,Science,0.9286016822,Education/Reference,0.5206510425,FALSE,200
pipaffiliates.com,,,,,TRUE,410
ultimate-guitar.com,Arts & Entertainment,1,Arts & Entertainment,0.5491397381,FALSE,200
dokicloud.one,File Sharing/P2P,0.545833528,Social Networking,0.4505987167,FALSE,200
kiksajex.com,,,,,TRUE,410
nflximg.net,,,,,TRUE,410
kirka.io,Gaming,0.7553424239,Gaming,0.5728754997,FALSE,200
withgoogle.com,Search Engines & Platforms,0.1471770257,,,FALSE,200
technoratimedia.com,,,,,TRUE,410
flashtalking.com,Advertising/Marketing,0.3426275253,Arts & Entertainment,0.2291901261,FALSE,200
testpapersfree.com,Education/Reference,0.9283163548,Education/Reference,0.8256106377,FALSE,200
html.learning.edu.sg,Education/Reference,,,,TRUE,410
tf.co.kr,News/Media,0.1794879138,,,FALSE,200
musicca.com,Arts & Entertainment,0.9856580496,Arts & Entertainment,0.6642795205,FALSE,200
16personalities.com,Arts & Entertainment,0.6368600726,Science,0.5937026739,FALSE,200
assets.com,,,,,FALSE,200
geoguessr.com,Gaming,0.55761379,Arts & Entertainment,0.3061086833,FALSE,200
chromeexperiments.com,Computers & Technology,0.3632954061,Computers & Technology,0.1302319616,0,200
poki.com,Gaming,0.9344540834,Gaming,0.800599277,FALSE,200
manhuagui.com,Arts & Entertainment,0.909797132,Arts & Entertainment,0.1202150881,FALSE,200
singpass.gov.sg,Government & Legal,0.1398126483,,,0,200
canvas.chrome,,,,,TRUE,410
dochub.com,Computers & Technology,1,Computers & Technology,0.4457618296,FALSE,200
tinkercad.com,Computers & Technology,0.6114674211,Computers & Technology,0.5744978189,FALSE,200
todayonline.com,News/Media,0.8103967309,News/Media,0.3089625537,FALSE,200
dailymotion.com,Arts & Entertainment,0.6570824981,Social Networking,0.1496286988,FALSE,200
wolvden.com,Gaming,0.6803795695,Gaming,0.5585666299,FALSE,200
69shuba.com,Adult,0.1970086545,,,FALSE,200
platform.com,Computers & Technology,0.2372592092,Computers & Technology,0.1297054887,FALSE,200
littlealchemy2.com,Gaming,0.7071632743,Gaming,0.6593744755,FALSE,200
miro.com,Computers & Technology,0.9743679762,Business,0.4793833494,FALSE,200
52shuku.vip,Computers & Technology,0.9888390899,,,FALSE,200
basketball-gm.com,Sports & Recreation,0.4782656431,Sports & Recreation,0.2308856845,FALSE,200
olevod.com,Arts & Entertainment,0.9235297441,Arts & Entertainment,0.3707975149,FALSE,200
nyp.edu.sg,Education/Reference,0.9143893123,Computers & Technology,0.1748904288,FALSE,200
sflix.to,Arts & Entertainment,1,Arts & Entertainment,0.4504795074,FALSE,200
purpleculture.net,Education/Reference,0.4406440556,Shopping,0.1452591121,FALSE,200
healthline.com,Health & Medicine,0.5436428189,Health & Medicine,0.2164009213,FALSE,200
flightradar24.com,Automotive & Transportation,0.9727794528,Education/Reference,0.4461144209,FALSE,200
arduino.cc,Computers & Technology,0.1996375024,Freeware/Software,0.1579515487,FALSE,200
fliphtml5.com,Business,0.4281948805,Computers & Technology,0.3961376548,FALSE,200
hurawatch.cc,Arts & Entertainment,0.976593852,Arts & Entertainment,0.5331465006,FALSE,200
google-bidout-d.net,,,,,TRUE,410
wikidot.com,Web-based Applications,0.1543574482,Education/Reference,0.1420581341,FALSE,200
goodreads.com,Social Networking,0.466478914,Arts & Entertainment,0.3679987192,FALSE,200
1hd.to,Arts & Entertainment,0.6887592077,Arts & Entertainment,0.5289258361,FALSE,200
sph.com.sg,News/Media,0.6124421358,Advertising/Marketing,0.3281279802,FALSE,200
wordlegame.org,Gaming,0.9528014064,Gaming,0.7462132573,FALSE,200
tinyzonetv.se,Arts & Entertainment,0.9869470596,Arts & Entertainment,0.4166718721,FALSE,200
